epoch,ep_in_epoch,global_ep,agent,src_name,dst_name,astar_pred_min,astar_nom_min,astar_flood_min,sac_time_min,reached_by_policy,used_fallback,fallback_reason,policy_steps,total_steps,sac_reward
1,1,1,0,Jawahar Nagar,Pandurang Wadi,4.561413550750585,4.2691041606272755,9.8944684307574,9.835727497340601,1,0,,35,35,240.0447809188168
1,1,1,1,Vibgyor High School,St Xaviers High School,4.846405680505715,4.498602738877432,10.121805449187269,6.96993266455198,1,0,,37,37,289.3100324324454
1,1,1,2,Unnat Nagar,Nirlon Knowledge Park,6.921502154477021,6.455197135612261,7.564097853552394,9.769433248937961,0,1,cycle,50,65,234.956207884827
1,1,1,3,Goregaon East,Unnat Nagar,4.669579030134171,4.332778370384769,10.54092867419439,11.507326447129323,0,1,cycle,10,20,231.74862073648035
1,1,1,4,Pandurang Wadi,Motilal Nagar,5.5186192352046755,5.13612254068152,10.011638476867438,10.135373318639852,1,0,,37,37,309.18367472315623
1,1,1,5,Royal Palms Estate,St Johns High School,12.837715154669844,11.90880261971093,29.22376144639272,31.6080470485928,0,1,cycle,31,40,115.18087547205693
1,1,1,6,Nesco IT Park,Bangur Nagar,7.3461132187126434,6.859770098382777,12.689328334201075,13.439029719525031,1,0,,45,45,246.84785376800798
1,1,1,7,St Johns High School,Goregaon East,3.5925891687953757,3.3399808335185166,8.254296326354876,9.083378202813265,0,1,cycle,14,36,198.50975726176543
1,1,1,8,Lifeline Medicare Hospital,Vibgyor High School,3.772405423849153,3.5143485053914874,3.5926195312013305,4.696809329674424,1,0,,37,37,326.6057413837855
1,2,2,0,Jawahar Nagar,Pandurang Wadi,4.561413550750585,4.2691041606272755,9.8944684307574,14.733218771411385,1,0,,64,64,202.89849024035303
1,2,2,1,Vibgyor High School,St Xaviers High School,4.846405680505715,4.498602738877432,10.121805449187269,8.29263918001655,0,1,deadend_in_subgraph,25,48,281.4006751623954
1,2,2,2,Unnat Nagar,Nirlon Knowledge Park,6.921502154477021,6.455197135612261,7.564097853552394,16.39320722330987,0,1,stalled,68,96,220.0967680005689
1,2,2,3,Goregaon East,Unnat Nagar,4.669579030134171,4.332778370384769,10.54092867419439,11.507326447129323,0,1,cycle,10,20,231.74862073648035
1,2,2,4,Pandurang Wadi,Motilal Nagar,5.5186192352046755,5.13612254068152,10.011638476867438,10.565394701758155,1,0,,46,46,291.2062782597808
1,2,2,5,Royal Palms Estate,St Johns High School,12.837715154669844,11.90880261971093,29.22376144639272,29.04957694562428,0,1,cycle,32,46,122.44911467173634
1,2,2,6,Nesco IT Park,Bangur Nagar,7.3461132187126434,6.859770098382777,12.689328334201075,11.872029404239406,1,0,,37,37,265.72763619195575
1,2,2,7,St Johns High School,Goregaon East,3.5925891687953757,3.3399808335185166,8.254296326354876,8.888735990155245,1,0,,30,30,247.49580178547026
1,2,2,8,Lifeline Medicare Hospital,Vibgyor High School,3.772405423849153,3.5143485053914874,3.5926195312013305,9.476686892773264,0,1,stalled,49,70,267.29996053769673
1,3,3,0,Jawahar Nagar,Pandurang Wadi,4.561413550750585,4.2691041606272755,9.8944684307574,15.928405072526543,0,1,stalled,38,65,139.9577132474764
1,3,3,1,Vibgyor High School,St Xaviers High School,4.846405680505715,4.498602738877432,10.121805449187269,8.705713667540115,0,1,deadend_in_subgraph,27,50,274.63346986419435
1,3,3,2,Unnat Nagar,Nirlon Knowledge Park,6.921502154477021,6.455197135612261,7.564097853552394,9.377590543253735,0,1,cycle,49,64,251.96442446954728
1,3,3,3,Goregaon East,Unnat Nagar,4.669579030134171,4.332778370384769,10.54092867419439,12.185103595886469,0,1,cycle,10,20,234.88818494311192
1,3,3,4,Pandurang Wadi,Motilal Nagar,5.5186192352046755,5.13612254068152,10.011638476867438,10.510983160528975,1,0,,26,26,274.0022473681348
1,3,3,5,Royal Palms Estate,St Johns High School,12.837715154669844,11.90880261971093,29.22376144639272,28.779659131131975,0,1,cycle,34,47,127.68673203694244
1,3,3,6,Nesco IT Park,Bangur Nagar,7.3461132187126434,6.859770098382777,12.689328334201075,18.82866147059868,0,1,deadend_in_subgraph,6,49,175.9876458139197
1,3,3,7,St Johns High School,Goregaon East,3.5925891687953757,3.3399808335185166,8.254296326354876,9.780390000784342,1,0,,32,32,238.566214547181
1,3,3,8,Lifeline Medicare Hospital,Vibgyor High School,3.772405423849153,3.5143485053914874,3.5926195312013305,6.8276938239142115,1,0,,39,39,327.72122093042265
1,4,4,0,Jawahar Nagar,Pandurang Wadi,4.561413550750585,4.2691041606272755,9.8944684307574,14.020208541749037,1,0,,60,60,230.3479198548595
1,4,4,1,Vibgyor High School,St Xaviers High School,4.846405680505715,4.498602738877432,10.121805449187269,9.275490443315077,0,1,cycle,36,46,212.3710307194175
1,4,4,2,Unnat Nagar,Nirlon Knowledge Park,6.921502154477021,6.455197135612261,7.564097853552394,8.940895704776493,0,1,cycle,47,62,253.84675729383164
1,4,4,3,Goregaon East,Unnat Nagar,4.669579030134171,4.332778370384769,10.54092867419439,11.507326447129323,0,1,cycle,10,20,231.74862073648035
1,4,4,4,Pandurang Wadi,Motilal Nagar,5.5186192352046755,5.13612254068152,10.011638476867438,10.135373318639852,1,0,,37,37,309.18367472315623
1,4,4,5,Royal Palms Estate,St Johns High School,12.837715154669844,11.90880261971093,29.22376144639272,29.125725803121515,0,1,cycle,31,45,125.41484784141069
1,4,4,6,Nesco IT Park,Bangur Nagar,7.3461132187126434,6.859770098382777,12.689328334201075,18.82866147059868,0,1,deadend_in_subgraph,6,49,175.9876458139197
1,4,4,7,St Johns High School,Goregaon East,3.5925891687953757,3.3399808335185166,8.254296326354876,12.88244173957148,0,1,stalled,30,72,167.08925857245586
1,4,4,8,Lifeline Medicare Hospital,Vibgyor High School,3.772405423849153,3.5143485053914874,3.5926195312013305,3.7904411983105364,1,0,,21,21,335.4672102429344
